oid_evbc_b64,total_assessed_value,total_assessed_building,total_assessed_land,previous_total,previous_land,previous_building,year_built,address,geometry,bedrooms,bathrooms,carport,garage,storeys,sales_history,zoning,pid
QTAwMDBNMVRFTA==,556000,250000,306000,502000,321000,181000,1991,4529 GREIG AVE,"[[-1431372804, 726837158], [-1431373367, 726831938], [-1431375087, 726832123], [-1431376807, 726832309], [-1431378527, 726832494], [-1431378636, 726832506], [-1431380247, 726832680], [-1431381967, 726832865], [-1431383687, 726833051], [-1431385407, 726833236], [-1431387128, 726833422], [-1431388848, 726833607], [-1431390568, 726833793], [-1431389998, 726839012], [-1431388279, 726838827], [-1431386559, 726838641], [-1431384840, 726838456], [-1431383120, 726838270], [-1431381401, 726838085], [-1431379682, 726837900], [-1431378605, 726837784], [-1431377962, 726837714], [-1431376243, 726837529], [-1431374523, 726837343], [-1431372804, 726837158]]",,,0,0,2,"[{""date"": ""2016-08-02"", ""price"": 725000}]",C1,007-645-180
QTAwMDBNMVRFTA==,556000,250000,306000,502000,321000,181000,1991,4529 GREIG AVE,"[[-1431372804, 726837158], [-1431373367, 726831938], [-1431375087, 726832123], [-1431376807, 726832309], [-1431378527, 726832494], [-1431378636, 726832506], [-1431380247, 726832680], [-1431381967, 726832865], [-1431383687, 726833051], [-1431385407, 726833236], [-1431387128, 726833422], [-1431388848, 726833607], [-1431390568, 726833793], [-1431389998, 726839012], [-1431388279, 726838827], [-1431386559, 726838641], [-1431384840, 726838456], [-1431383120, 726838270], [-1431381401, 726838085], [-1431379682, 726837900], [-1431378605, 726837784], [-1431377962, 726837714], [-1431376243, 726837529], [-1431374523, 726837343], [-1431372804, 726837158]]",,,0,0,2,"[{""date"": ""2016-08-02"", ""price"": 725000}]",C1,007-645-180
QTAwMDBNMVRFTA==,556000,250000,306000,502000,321000,181000,1991,4529 GREIG AVE,"[[-1431372804, 726837158], [-1431373367, 726831938], [-1431375087, 726832123], [-1431376807, 726832309], [-1431378527, 726832494], [-1431378636, 726832506], [-1431380247, 726832680], [-1431381967, 726832865], [-1431383687, 726833051], [-1431385407, 726833236], [-1431387128, 726833422], [-1431388848, 726833607], [-1431390568, 726833793], [-1431389998, 726839012], [-1431388279, 726838827], [-1431386559, 726838641], [-1431384840, 726838456], [-1431383120, 726838270], [-1431381401, 726838085], [-1431379682, 726837900], [-1431378605, 726837784], [-1431377962, 726837714], [-1431376243, 726837529], [-1431374523, 726837343], [-1431372804, 726837158]]",,,0,0,2,"[{""date"": ""2016-08-02"", ""price"": 725000}]",C1,007-645-180
QTAwMDBNMVRFTA==,556000,250000,306000,502000,321000,181000,1991,4529 GREIG AVE,"[[-1431372804, 726837158], [-1431373367, 726831938], [-1431375087, 726832123], [-1431376807, 726832309], [-1431378527, 726832494], [-1431378636, 726832506], [-1431380247, 726832680], [-1431381967, 726832865], [-1431383687, 726833051], [-1431385407, 726833236], [-1431387128, 726833422], [-1431388848, 726833607], [-1431390568, 726833793], [-1431389998, 726839012], [-1431388279, 726838827], [-1431386559, 726838641], [-1431384840, 726838456], [-1431383120, 726838270], [-1431381401, 726838085], [-1431379682, 726837900], [-1431378605, 726837784], [-1431377962, 726837714], [-1431376243, 726837529], [-1431374523, 726837343], [-1431372804, 726837158]]",,,0,0,2,"[{""date"": ""2016-08-02"", ""price"": 725000}]",C1,007-645-180
QTAwMDBNMVRFUA==,136900,89200,47700,133700,33400,100300,1940,4509 GREIG AVE,"[[-1431370121, 726836869], [-1431370684, 726831649], [-1431371648, 726831752], [-1431373367, 726831938], [-1431372804, 726837158], [-1431371085, 726836973], [-1431370121, 726836869]]",2,1,0,0,,[],C1-A,013-916-742
QTAwMDBNMVRFUA==,136900,89200,47700,133700,33400,100300,1940,4509 GREIG AVE,"[[-1431370121, 726836869], [-1431370684, 726831649], [-1431371648, 726831752], [-1431373367, 726831938], [-1431372804, 726837158], [-1431371085, 726836973], [-1431370121, 726836869]]",2,1,0,0,,[],C1-A,013-916-742
QTAwMDBNMVRFUQ==,13400,0,13400,9400,9400,0,,4507 GREIG AVE,"[[-1431370684, 726831649], [-1431370121, 726836869], [-1431369365, 726836787], [-1431369929, 726831567], [-1431370684, 726831649]]",,,0,0,,[],C1-A,013-916-793
QTAwMDBNMVRFUg==,114800,84200,30600,116000,21400,94600,1950,4505 GREIG AVE,"[[-1431369929, 726831567], [-1431369365, 726836787], [-1431367646, 726836602], [-1431368210, 726831382], [-1431369929, 726831567]]",2,1,0,0,,"[{""date"": ""2014-12-17"", ""price"": 182380}]",C1-A,013-916-769
QTAwMDBNMVRFUw==,670000,563000,107000,678000,107000,571000,1926,4501 GREIG AVE,"[[-1431364207, 726836231], [-1431364772, 726831011], [-1431366491, 726831196], [-1431368210, 726831382], [-1431367646, 726836602], [-1431365926, 726836416], [-1431364207, 726836231]]",,,0,0,3,[],R5,013-716-816
QTAwMDBNMVRFUw==,670000,563000,107000,678000,107000,571000,1926,4501 GREIG AVE,"[[-1431364207, 726836231], [-1431364772, 726831011], [-1431366491, 726831196], [-1431368210, 726831382], [-1431367646, 726836602], [-1431365926, 726836416], [-1431364207, 726836231]]",,,0,0,3,[],R5,013-716-816
QTAwMDBNMVRFVA==,3960000,3769000,191000,3736000,201000,3535000,1960,4553 GREIG AVE,"[[-1431407191, 726840868], [-1431407761, 726835647], [-1431409480, 726835832], [-1431411200, 726836017], [-1431412919, 726836203], [-1431418061, 726836757], [-1431418025, 726838496], [-1431417989, 726840235], [-1431417951, 726842026], [-1431412352, 726841423], [-1431410632, 726841238], [-1431408912, 726841053], [-1431407191, 726840868]]",,,0,0,8,[],C7,011-778-806
QTAwMDBNMVRFVA==,3960000,3769000,191000,3736000,201000,3535000,1960,4553 GREIG AVE,"[[-1431407191, 726840868], [-1431407761, 726835647], [-1431409480, 726835832], [-1431411200, 726836017], [-1431412919, 726836203], [-1431418061, 726836757], [-1431418025, 726838496], [-1431417989, 726840235], [-1431417951, 726842026], [-1431412352, 726841423], [-1431410632, 726841238], [-1431408912, 726841053], [-1431407191, 726840868]]",,,0,0,8,[],C7,011-778-806
QTAwMDBNMVRFVA==,3960000,3769000,191000,3736000,201000,3535000,1960,4553 GREIG AVE,"[[-1431407191, 726840868], [-1431407761, 726835647], [-1431409480, 726835832], [-1431411200, 726836017], [-1431412919, 726836203], [-1431418061, 726836757], [-1431418025, 726838496], [-1431417989, 726840235], [-1431417951, 726842026], [-1431412352, 726841423], [-1431410632, 726841238], [-1431408912, 726841053], [-1431407191, 726840868]]",,,0,0,8,[],C7,011-779-021
QTAwMDBNMVRFVA==,3960000,3769000,191000,3736000,201000,3535000,1960,4553 GREIG AVE,"[[-1431407191, 726840868], [-1431407761, 726835647], [-1431409480, 726835832], [-1431411200, 726836017], [-1431412919, 726836203], [-1431418061, 726836757], [-1431418025, 726838496], [-1431417989, 726840235], [-1431417951, 726842026], [-1431412352, 726841423], [-1431410632, 726841238], [-1431408912, 726841053], [-1431407191, 726840868]]",,,0,0,8,[],C7,011-778-806
QTAwMDBNMVRFVQ==,30600,0,30600,32100,32100,0,,4545 GREIG AVE,"[[-1431407761, 726835647], [-1431407191, 726840868], [-1431405471, 726840682], [-1431406041, 726835461], [-1431407761, 726835647]]",,,0,0,,[],C1,011-778-890
QTAwMDBNMVRFVg==,30600,0,30600,32100,32100,0,,4543 GREIG AVE,"[[-1431406041, 726835461], [-1431405471, 726840682], [-1431403751, 726840497], [-1431404322, 726835276], [-1431406041, 726835461]]",,,0,0,,[],C1,011-778-920
QTAwMDBNMVRFVw==,30600,0,30600,32100,32100,0,,4541 GREIG AVE,"[[-1431404322, 726835276], [-1431403751, 726840497], [-1431402031, 726840312], [-1431402602, 726835091], [-1431404322, 726835276]]",,,0,0,,[],C1,011-778-962
QTAwMDBNMVRFWA==,61200,0,61200,64300,64300,0,,4539 GREIG AVE,"[[-1431398591, 726839941], [-1431399163, 726834720], [-1431400883, 726834905], [-1431402602, 726835091], [-1431402031, 726840312], [-1431400311, 726840126], [-1431398591, 726839941]]",,,0,0,,[],C1,007-507-321
QTAwMDBNMVRFWA==,61200,0,61200,64300,64300,0,,4539 GREIG AVE,"[[-1431398591, 726839941], [-1431399163, 726834720], [-1431400883, 726834905], [-1431402602, 726835091], [-1431402031, 726840312], [-1431400311, 726840126], [-1431398591, 726839941]]",,,0,0,,[],C1,007-507-321
QTAwMDBNMVRFWQ==,402300,310500,91800,397200,96500,300700,1961,4531 GREIG AVE,"[[-1431393430, 726839385], [-1431394003, 726834181], [-1431395724, 726834349], [-1431397444, 726834534], [-1431399163, 726834720], [-1431398591, 726839941], [-1431396870, 726839756], [-1431395150, 726839570], [-1431393430, 726839385]]",,,0,0,2,[],C1,013-917-935
QTAwMDBNMVRFWQ==,402300,310500,91800,397200,96500,300700,1961,4531 GREIG AVE,"[[-1431393430, 726839385], [-1431394003, 726834181], [-1431395724, 726834349], [-1431397444, 726834534], [-1431399163, 726834720], [-1431398591, 726839941], [-1431396870, 726839756], [-1431395150, 726839570], [-1431393430, 726839385]]",,,0,0,2,[],C1,013-917-935
QTAwMDBNMVRFWQ==,402300,310500,91800,397200,96500,300700,1961,4531 GREIG AVE,"[[-1431393430, 726839385], [-1431394003, 726834181], [-1431395724, 726834349], [-1431397444, 726834534], [-1431399163, 726834720], [-1431398591, 726839941], [-1431396870, 726839756], [-1431395150, 726839570], [-1431393430, 726839385]]",,,0,0,2,[],C1,013-917-935
QTAwMDBNMVRGNA==,524000,379000,145000,524000,134000,390000,1968,4404 LEGION AVE,"[[-1431289967, 726842550], [-1431289831, 726849755], [-1431281447, 726848745], [-1431281654, 726839246], [-1431289967, 726842550]]",,,0,0,1,[],M1,010-917-021
QTAwMDBNMVRGNQ==,69500,0,69500,64100,64100,0,,4409 LEGION AVE,"[[-1431301486, 726838600], [-1431301066, 726842517], [-1431293696, 726841773], [-1431294115, 726837803], [-1431301486, 726838600]]",,,0,0,,[],C6,008-436-321
QTAwMDBNMVRGNg==,4991000,3334000,1657000,5045000,1657000,3388000,1989,3232 APSLEY ST,"[[-1431287977, 726873450], [-1431288395, 726853073], [-1431306428, 726855245], [-1431328464, 726851493], [-1431328903, 726851539], [-1431329525, 726851607], [-1431326731, 726877607], [-1431325732, 726877500], [-1431287977, 726873450]]",,,0,0,14,[],R5,005-278-660
QTAwMDBNMVRGNw==,257700,88700,169000,237600,203000,34600,1970,4402 LAKELSE AVE,"[[-1431280955, 726872696], [-1431281375, 726852227], [-1431281379, 726852228], [-1431288395, 726853073], [-1431287977, 726873450], [-1431280955, 726872696]]",,,0,0,1,[],C3,012-406-341
QTAwMDBNMVRGOA==,540000,448000,92000,546000,92000,454000,1991,4524 LITTLE AVE,"[[-1431377224, 726903629], [-1431378248, 726894034], [-1431384030, 726894658], [-1431383029, 726903976], [-1431377224, 726903629]]",,,0,0,4,[],R5,012-406-376
QTAwMDBNMVRGOQ==,66000,0,66000,66000,66000,0,,4512 LITTLE AVE,"[[-1431364659, 726902880], [-1431365737, 726892685], [-1431369282, 726893067], [-1431368219, 726903092], [-1431364659, 726902880]]",,,0,0,,[],R5,006-491-693
QTAwMDBNMVRGQQ==,1470000,1341000,129000,1486000,129000,1357000,1981,4506 LITTLE AVE,"[[-1431355384, 726902327], [-1431356516, 726891691], [-1431365737, 726892685], [-1431364659, 726902880], [-1431359980, 726902602], [-1431355384, 726902327]]",,,0,0,2,"[{""date"": ""2015-08-13"", ""price"": 1600000}, {""date"": ""2014-02-14"", ""price"": 780000}]",R5,007-539-118
QTAwMDBNMVRGQw==,75200,0,75200,75200,75200,0,,4440 LITTLE AVE,"[[-1431339111, 726901356], [-1431340320, 726889944], [-1431349182, 726890900], [-1431348010, 726901887], [-1431339111, 726901356]]",,,0,0,,[],R5,012-407-925
QTAwMDBNMVRGRA==,3784000,3605000,179000,3784000,165000,3619000,1992,4410 LEGION AVE,"[[-1431306482, 726845175], [-1431305829, 726851682], [-1431303229, 726851369], [-1431300628, 726851056], [-1431298028, 726850743], [-1431295323, 726850417], [-1431292567, 726850085], [-1431290353, 726849818], [-1431289831, 726849755], [-1431289967, 726842550], [-1431293196, 726843833], [-1431306482, 726845175]]",,,0,0,3,[],C6,025-493-965
RDAwMDBHTVNMQQ==,405200,288300,116900,374200,108600,265600,1956,4426 LEGION AVE,"[[-1431306482, 726845175], [-1431309173, 726845454], [-1431312406, 726845780], [-1431316316, 726846174], [-1431315939, 726850110], [-1431311922, 726850794], [-1431308600, 726851360], [-1431306343, 726851744], [-1431305829, 726851682], [-1431306482, 726845175]]",,,0,0,2,[],C1,028-900-693
QTAwMDBNMVRGRw==,44800,900,43900,41400,40600,800,1995,4428 LEGION AVE,"[[-1431316316, 726846174], [-1431321775, 726846724], [-1431322180, 726849047], [-1431315939, 726850110], [-1431316316, 726846174]]",,,0,0,1,[],C1,012-388-815
QTAwMDBNMVRGSA==,43200,0,43200,39900,39900,0,,4416 GREIG AVE,"[[-1431308987, 726833767], [-1431308427, 726838988], [-1431304962, 726838615], [-1431305521, 726833394], [-1431308987, 726833767]]",,,0,0,,[],C6,012-370-797
QTAwMDBNMVRGSg==,142600,78700,63900,146200,68000,78200,1955,4418 GREIG AVE,"[[-1431312113, 726834103], [-1431311554, 726839324], [-1431308427, 726838988], [-1431308987, 726833767], [-1431312113, 726834103]]",2,1,0,0,,[],R2,012-370-509
QTAwMDBNMVRGSw==,126400,62500,63900,135200,68000,67200,1956,4420 GREIG AVE,"[[-1431315240, 726834439], [-1431314680, 726839660], [-1431311554, 726839324], [-1431312113, 726834103], [-1431315240, 726834439]]",2,1,0,0,,[],R2,011-680-717
QTAwMDBNMVRGTA==,206900,143000,63900,210000,68000,142000,1955,4422 GREIG AVE,"[[-1431318366, 726834776], [-1431317806, 726839996], [-1431314680, 726839660], [-1431315240, 726834439], [-1431318366, 726834776]]",3,1,0,1,,[],R2,012-370-452
QTAwMDBNMVRGTQ==,180900,117000,63900,187000,68000,119000,1963,4424 GREIG AVE,"[[-1431318366, 726834776], [-1431321485, 726835112], [-1431320923, 726840331], [-1431317806, 726839996], [-1431318366, 726834776]]",1,1,0,0,,"[{""date"": ""2014-08-01"", ""price"": 200000}]",R2,012-408-620
RDAwMDBHVFM0OA==,400000,280000,120000,385000,111000,274000,1976,3210 APSLEY ST,"[[-1431321485, 726835112], [-1431331183, 726836149], [-1431330622, 726841371], [-1431320923, 726840331], [-1431321485, 726835112]]",,,0,0,1,[],C1-A,028-933-427
QTAwMDBNMVRGUg==,247000,137000,110000,213000,102000,111000,1942,4425 LEGION AVE,"[[-1431319360, 726844369], [-1431319697, 726841044], [-1431330535, 726842210], [-1431330349, 726843933], [-1431329974, 726847430], [-1431328975, 726847323], [-1431327640, 726847179], [-1431327153, 726846914], [-1431323169, 726844753], [-1431319360, 726844369]]",,,0,0,1,[],C1,012-408-662
QTAwMDBNMVRGUw==,210500,146000,64500,160500,59500,101000,1943,4419 LEGION AVE,"[[-1431311280, 726843555], [-1431311620, 726840176], [-1431319697, 726841044], [-1431319360, 726844369], [-1431311280, 726843555]]",,,0,0,1,[],M1,012-371-076
QTAwMDBNMVRGVA==,46600,0,46600,43000,43000,0,,4413 LEGION AVE,"[[-1431310238, 726843443], [-1431304507, 726842864], [-1431304872, 726839450], [-1431310579, 726840064], [-1431310238, 726843443]]",,,0,0,,[],C6,008-436-312
QTAwMDBNMVRGVg==,249400,159000,90400,254200,96200,158000,1957,4417 GREIG AVE,"[[-1431315015, 726826221], [-1431314515, 726830876], [-1431310346, 726830427], [-1431310806, 726826124], [-1431312911, 726826162], [-1431315015, 726826221]]",4,2,0,0,,[],R2,012-689-220
QTAwMDBNMVRGVw==,194600,126000,68600,200000,73000,127000,1952,4419 GREIG AVE,"[[-1431318688, 726826375], [-1431318163, 726831268], [-1431314515, 726830876], [-1431315015, 726826221], [-1431316852, 726826290], [-1431318688, 726826375]]",1,1,0,0,,[],R2,011-841-401
QTAwMDBNMVRGWA==,276600,205000,71600,282200,76200,206000,1989,4421 GREIG AVE,"[[-1431322354, 726826594], [-1431321811, 726831661], [-1431318163, 726831268], [-1431318688, 726826375], [-1431320522, 726826477], [-1431322354, 726826594]]",6,2,0,0,,"[{""date"": ""2014-05-15"", ""price"": 254000}]",R2,011-009-942
QTAwMDBNMVRGWQ==,228200,162000,66200,239500,70500,169000,1952,4423 GREIG AVE,"[[-1431325644, 726826846], [-1431325094, 726832014], [-1431321811, 726831661], [-1431322354, 726826594], [-1431323999, 726826713], [-1431325644, 726826846]]",3,1,0,0,,[],R2,012-408-671
QTAwMDBNMVRGWg==,149800,83800,66000,155100,70200,84900,1956,4425 GREIG AVE,"[[-1431328881, 726827144], [-1431328325, 726832361], [-1431325094, 726832014], [-1431325644, 726826846], [-1431327263, 726826989], [-1431328881, 726827144]]",1,1,0,0,,[],R2,012-408-689
QTAwMDBNMVRHMA==,181400,115000,66400,184600,70600,114000,1952,4427 GREIG AVE,"[[-1431332114, 726827485], [-1431331556, 726832709], [-1431328325, 726832361], [-1431328881, 726827144], [-1431332114, 726827485]]",3,1,0,0,,[],R2,008-683-492
QTAwMDBNMVRHMQ==,495000,336000,159000,531000,174000,357000,1969,4401 BIRCH AVE,"[[-1431288042, 726876943], [-1431285098, 726884581], [-1431280746, 726882899], [-1431280884, 726876175], [-1431288042, 726876943]]",4,4,0,1,,[],R1,012-058-238
QTAwMDBNMVRHMg==,286000,156000,130000,316000,142000,174000,1964,4403 BIRCH AVE,"[[-1431292348, 726877405], [-1431290353, 726882593], [-1431289008, 726886091], [-1431285098, 726884581], [-1431288042, 726876943], [-1431290353, 726877191], [-1431292348, 726877405]]",3,2,0,1,,[],R1,008-057-672
QTAwMDBNMVRHMw==,425000,294000,131000,453000,143000,310000,1973,4405 BIRCH AVE,"[[-1431296654, 726877867], [-1431292917, 726887601], [-1431290353, 726886611], [-1431289008, 726886091], [-1431290353, 726882593], [-1431292348, 726877405], [-1431296654, 726877867]]",4,2,0,1,,[],R1,005-110-084
QTAwMDBNMVRHNA==,402000,255000,147000,450000,161000,289000,1961,4407 BIRCH AVE,"[[-1431304915, 726878753], [-1431300394, 726883774], [-1431296827, 726889112], [-1431292917, 726887601], [-1431296654, 726877867], [-1431304915, 726878753]]",4,2,0,1,,[],R1,007-884-788
QTAwMDBNMVRHNQ==,336500,239000,97500,344000,102000,242000,1969,4501 CEDAR CRES,"[[-1431329077, 726911580], [-1431325411, 726911577], [-1431325192, 726911563], [-1431325080, 726911543], [-1431324968, 726911516], [-1431324859, 726911482], [-1431324753, 726911439], [-1431324650, 726911390], [-1431324551, 726911333], [-1431324455, 726911269], [-1431324365, 726911199], [-1431324279, 726911123], [-1431324199, 726911041], [-1431324125, 726910954], [-1431324057, 726910862], [-1431323996, 726910765], [-1431323942, 726910664], [-1431323895, 726910559], [-1431323855, 726910452], [-1431323823, 726910342], [-1431323798, 726910230], [-1431323782, 726910116], [-1431323773, 726910002], [-1431323703, 726908342], [-1431323688, 726908215], [-1431323681, 726908076], [-1431323683, 726907937], [-1431323695, 726907799], [-1431323717, 726907661], [-1431323748, 726907526], [-1431323788, 726907393], [-1431323838, 726907263], [-1431323896, 726907136], [-1431323963, 726907015], [-1431324039, 726906898], [-1431324122, 726906787], [-1431324213, 726906682], [-1431324311, 726906583], [-1431324416, 726906492], [-1431324527, 726906408], [-1431324643, 726906332], [-1431324765, 726906264], [-1431324890, 726906205], [-1431325020, 726906155], [-1431325153, 726906115], [-1431325288, 726906083], [-1431325425, 726906061], [-1431325563, 726906049], [-1431325702, 726906047], [-1431329077, 726905728], [-1431329077, 726911580]]",4,2,0,1,,[],R1,011-801-492
QTAwMDBNMVRHNg==,324600,230000,94600,267600,99600,168000,1967,4503 CEDAR CRES,"[[-1431333791, 726911584], [-1431329077, 726911580], [-1431329077, 726905728], [-1431333795, 726905284], [-1431333791, 726911584]]",4,2,0,1,,"[{""date"": ""2016-08-31"", ""price"": 345000}]",R1,004-767-128
QTAwMDBNMVRHNw==,309500,213000,96500,317000,101000,216000,1969,4505 CEDAR CRES,"[[-1431338504, 726911588], [-1431337698, 726911588], [-1431337697, 726911588], [-1431333791, 726911587], [-1431333795, 726905284], [-1431338511, 726904836], [-1431338504, 726911517], [-1431338504, 726911588]]",4,3,0,1,,[],R1,011-801-018
QTAwMDBNMVRHOA==,343400,251000,92400,352200,97200,255000,1968,4507 CEDAR CRES,"[[-1431343153, 726912628], [-1431343017, 726912525], [-1431342969, 726912427], [-1431342914, 726912331], [-1431342853, 726912240], [-1431342786, 726912153], [-1431342712, 726912072], [-1431342633, 726911995], [-1431342549, 726911925], [-1431342461, 726911860], [-1431342368, 726911802], [-1431342271, 726911750], [-1431342170, 726911705], [-1431342067, 726911667], [-1431341962, 726911637], [-1431341855, 726911614], [-1431341746, 726911599], [-1431341582, 726911590], [-1431338504, 726911588], [-1431338512, 726904839], [-1431338818, 726904810], [-1431343163, 726905070], [-1431343153, 726912628]]",3,3,1,1,,[],R1,004-599-721
QTAwMDBNMVRHOQ==,387000,281000,106000,394000,112000,282000,1979,4509 CEDAR CRES,"[[-1431347860, 726916263], [-1431344721, 726916257], [-1431344558, 726916249], [-1431344450, 726916233], [-1431344343, 726916210], [-1431344237, 726916180], [-1431344134, 726916142], [-1431344034, 726916098], [-1431343937, 726916046], [-1431343844, 726915988], [-1431343755, 726915923], [-1431343671, 726915852], [-1431343592, 726915776], [-1431343519, 726915694], [-1431343451, 726915607], [-1431343390, 726915516], [-1431343335, 726915421], [-1431343287, 726915322], [-1431343246, 726915220], [-1431343212, 726915115], [-1431343186, 726915009], [-1431343167, 726914900], [-1431343156, 726914791], [-1431343152, 726914681], [-1431343153, 726913166], [-1431343153, 726912628], [-1431343163, 726905070], [-1431347880, 726905351], [-1431347860, 726916263]]",4,3,0,1,,[],R1,011-375-469
QTAwMDBNMVRHQQ==,327000,173000,154000,354000,168000,186000,1963,4515 CEDAR CRES,"[[-1431371069, 726906734], [-1431359828, 726913217], [-1431359456, 726913432], [-1431359249, 726913339], [-1431359120, 726913291], [-1431358989, 726913251], [-1431358856, 726913217], [-1431358722, 726913191], [-1431358586, 726913171], [-1431358449, 726913159], [-1431358312, 726913154], [-1431358175, 726913156], [-1431358038, 726913165], [-1431357902, 726913181], [-1431357767, 726913205], [-1431357633, 726913235], [-1431357501, 726913273], [-1431357371, 726913317], [-1431357244, 726913369], [-1431357119, 726913426], [-1431356998, 726913491], [-1431356880, 726913561], [-1431356766, 726913638], [-1431356656, 726913720], [-1431356551, 726913808], [-1431356451, 726913902], [-1431356355, 726914001], [-1431355010, 726915439], [-1431354880, 726915569], [-1431354670, 726915660], [-1431354688, 726905757], [-1431371069, 726906734]]",6,,0,1,,[],R1,008-204-322
QTAwMDBNMVRHQg==,390000,200000,190000,425000,208000,217000,1963,4522 CEDAR CRES,"[[-1431373105, 726932098], [-1431372698, 726932091], [-1431361746, 726931903], [-1431357041, 726931822], [-1431357050, 726919740], [-1431357187, 726919737], [-1431357324, 726919726], [-1431357460, 726919708], [-1431357595, 726919683], [-1431357728, 726919651], [-1431357860, 726919612], [-1431357989, 726919566], [-1431358116, 726919514], [-1431358240, 726919455], [-1431358360, 726919389], [-1431358477, 726919318], [-1431358590, 726919240], [-1431358699, 726919156], [-1431358804, 726919067], [-1431358965, 726918908], [-1431367444, 726926818], [-1431373105, 726932098]]",5,4,0,1,,[],R1,011-801-247
QTAwMDBNMVRHQw==,361000,257000,104000,369000,109000,260000,1969,4520 CEDAR CRES,"[[-1431357041, 726931822], [-1431352588, 726931746], [-1431352597, 726919737], [-1431357050, 726919740], [-1431357041, 726931822]]",7,3,1,0,,[],R1,011-801-191
QTAwMDBNMVRHRA==,386000,278000,108000,394000,113000,281000,1975,4518 CEDAR CRES,"[[-1431352588, 726931746], [-1431350794, 726931715], [-1431347873, 726931665], [-1431347881, 726919733], [-1431352597, 726919737], [-1431352588, 726931746]]",4,4,0,1,,[],R1,011-801-603
QTAwMDBNMVRHRQ==,340000,233000,107000,349000,113000,236000,1980,4516 CEDAR CRES,"[[-1431347873, 726931665], [-1431343158, 726931584], [-1431343163, 726922471], [-1431343163, 726922198], [-1431343164, 726921305], [-1431343173, 726921140], [-1431343188, 726921031], [-1431343211, 726920924], [-1431343241, 726920818], [-1431343279, 726920715], [-1431343324, 726920614], [-1431343375, 726920517], [-1431343434, 726920424], [-1431343498, 726920335], [-1431343569, 726920251], [-1431343645, 726920172], [-1431343727, 726920099], [-1431343813, 726920031], [-1431343904, 726919970], [-1431343999, 726919915], [-1431344098, 726919867], [-1431344200, 726919825], [-1431344304, 726919791], [-1431344410, 726919765], [-1431344518, 726919746], [-1431344628, 726919735], [-1431344737, 726919731], [-1431347881, 726919733], [-1431347873, 726931665]]",4,2,0,1,,[],R1,011-801-158
QTAwMDBNMVRHRg==,414000,314000,100000,412000,105000,307000,1987,4514 CEDAR CRES,"[[-1431338508, 726931504], [-1431338511, 726923769], [-1431341590, 726923773], [-1431341617, 726923773], [-1431341645, 726923772], [-1431341672, 726923771], [-1431341700, 726923769], [-1431341727, 726923767], [-1431341754, 726923764], [-1431341781, 726923761], [-1431341809, 726923757], [-1431341836, 726923753], [-1431341863, 726923749], [-1431341890, 726923744], [-1431341917, 726923738], [-1431341944, 726923733], [-1431341970, 726923726], [-1431341997, 726923719], [-1431342023, 726923712], [-1431342049, 726923704], [-1431342076, 726923696], [-1431342101, 726923687], [-1431342127, 726923678], [-1431342153, 726923668], [-1431342179, 726923658], [-1431342204, 726923648], [-1431342229, 726923637], [-1431342254, 726923625], [-1431342279, 726923613], [-1431342304, 726923601], [-1431342328, 726923589], [-1431342352, 726923575], [-1431342376, 726923562], [-1431342400, 726923548], [-1431342423, 726923534], [-1431342446, 726923519], [-1431342469, 726923504], [-1431342492, 726923488], [-1431342514, 726923472], [-1431342536, 726923456], [-1431342558, 726923439], [-1431342579, 726923422], [-1431342600, 726923404], [-1431342621, 726923387], [-1431342642, 726923368], [-1431342662, 726923350], [-1431342682, 726923331], [-1431342701, 726923312], [-1431342721, 726923292], [-1431342740, 726923272], [-1431342758, 726923252], [-1431342776, 726923231], [-1431342794, 726923210], [-1431342812, 726923189], [-1431342829, 726923168], [-1431342846, 726923146], [-1431342862, 726923124], [-1431342878, 726923102], [-1431342893, 726923079], [-1431342908, 726923056], [-1431342923, 726923033], [-1431342937, 726923009], [-1431342951, 726922985], [-1431342965, 726922962], [-1431342978, 726922937], [-1431342991, 726922913], [-1431343003, 726922888], [-1431343015, 726922863], [-1431343026, 726922838], [-1431343037, 726922813], [-1431343048, 726922788], [-1431343058, 726922762], [-1431343067, 726922737], [-1431343076, 726922711], [-1431343085, 726922685], [-1431343093, 726922659], [-1431343101, 726922632], [-1431343108, 726922606], [-1431343115, 726922579], [-1431343122, 726922552], [-1431343128, 726922525], [-1431343133, 726922498], [-1431343138, 726922471], [-1431343143, 726922444], [-1431343147, 726922417], [-1431343150, 726922390], [-1431343153, 726922363], [-1431343156, 726922335], [-1431343158, 726922308], [-1431343160, 726922280], [-1431343161, 726922253], [-1431343162, 726922225], [-1431343159, 726931583], [-1431338508, 726931504]]",3,3,0,1,,[],R1,007-939-213
QTAwMDBNMVRHRw==,365000,265000,100000,385000,105000,280000,1970,4512 CEDAR CRES,"[[-1431333791, 726931423], [-1431333795, 726923766], [-1431338511, 726923769], [-1431338508, 726931504], [-1431333791, 726931423]]",5,3,0,1,,[],R1,011-800-984
QTAwMDBNMVRHSA==,330000,230000,100000,338000,105000,233000,1973,4510 CEDAR CRES,"[[-1431333792, 726931423], [-1431329077, 726931342], [-1431329080, 726923762], [-1431333795, 726923766], [-1431333792, 726931423]]",5,2,1,0,,[],R1,011-806-770
